row_id,hts8,api_hts_number,api_rate_source,api_formula_used,status,http_status,api_message,expected_2025_base_duty,api_2026_base_duty,delta,abs_delta,pct_delta,quantity1_code,quantity2_code,mfn_text_rate,begin_effect_date,end_effective_date
0cb6f9bf-f423-4fe9-b9f3-f35c0f6d3df7,06011015,0601.10.15.00,general,weight * 0.8959999999999999,mismatch,201,,0,0.9,0.9,0.9,,NO,,89.6 cents/1000,2020-06-30,2050-12-30
06979f55-bb66-4e50-8cb4-e64fe12409d3,06011030,0601.10.30.00,general,weight * 0.384,mismatch,201,,0,0.38,0.38,0.38,,NO,,38.4 cents/1000,2020-06-30,2050-12-30
7f0bc75d-03f4-4d96-a637-b9cfd98ac889,06011045,0601.10.45.00,general,weight * 0.557,mismatch,201,,0,0.56,0.56,0.56,,NO,,55.7 cents/1000,2020-06-30,2050-12-30
8ffe3cab-1870-4217-acae-8cedcbc4eca8,06011060,0601.10.60.00,general,weight * 1.34,mismatch,201,,0,1.34,1.34,1.34,,NO,,$1.34/1000,2020-06-30,2050-12-30
038c5ff9-608b-4a32-ac09-daf3c29668de,06011075,0601.10.75.00,general,weight * 0.192,mismatch,201,,0,0.19,0.19,0.19,,NO,,19.2 cents/1000,2020-06-30,2050-12-30
f90b3d3e-10b0-4189-977d-4c17704af016,06011085,0601.10.85.00,general,weight * 1.44,mismatch,201,,0,1.44,1.44,1.44,,NO,,$1.44/1000,2020-06-30,2050-12-30
c2695d4a-3d43-4135-9d71-97dfbd57600e,06012010,0601.20.10.00,general,weight * 0.384,mismatch,201,,0,0.38,0.38,0.38,,NO,,38.4 cents/1000,2020-06-30,2050-12-30
0ddb06c3-e30e-4d78-a58a-9ac0ea865d88,58109100,5810.91.00,general,value * 0.9,mismatch,201,,0,90,90,90,,KG,,See additional U.S. note 1,2020-06-30,2050-12-30
f8c522be-9403-4f7f-bbb8-49c0caeaabd8,64034060,6403.40.60.00,adjusted,(value * 0.085) + (value * 0.4),mismatch,201,,8.5,48.5,40,40,470.59,PRS,,8.5%,2020-06-30,2050-12-30
4d4a1522-d930-4430-8a90-eb3d89187e1e,64039975,6403.99.75,adjusted,(value * 0.07) + (value * 0.4),mismatch,201,,7,47,40,40,571.43,PRS,,7%,2020-06-30,2050-12-30
4d404393-d26b-4089-9a0f-ae8577fece67,99030220,9903.02.20,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-08-31,2050-12-30
253eff2f-c671-4007-8a49-b0f36002421d,99030273,9903.02.73,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-08-06,2050-12-30
fcfbafd8-c383-49b9-9ba6-bdba7288c4b7,99030280,9903.02.80,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-11-13,2050-12-30
61fbde6e-67c1-4077-81bc-72b427a76bb0,99034522,9903.45.22,general,value * 0.3,mismatch,201,,14.25,30,15.75,15.75,110.53,No,W,14.25%,2024-02-06,2025-02-05
5f7cbca5-ba6b-4104-a579-23b0b7a7107f,99034522,9903.45.22,general,value * 0.3,mismatch,201,,14,30,16,16,114.29,No,W,14.0%,2025-02-06,2026-02-05
2e5fdc15-e295-42a7-995f-7972020cbfcb,99034525,9903.45.25,general,value * 0.3,mismatch,201,,14.25,30,15.75,15.75,110.53,No,W,14.25%,2024-02-06,2025-02-05
283d60cb-ff69-4e54-8205-e15db6a284bf,99034525,9903.45.25,general,value * 0.3,mismatch,201,,14,30,16,16,114.29,No,W,14%,2025-02-06,2026-02-05
82e46608-db98-4885-9733-2fbc73e16e8a,99037621,9903.76.21,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-10-13,2050-12-30
4df614a8-a824-4809-8113-c2ae7e95b04b,99037622,9903.76.22,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-10-13,2050-12-30
d1421123-199e-471e-bd60-f2b11082973a,99037623,9903.76.23,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-11-13,2050-12-30
afd0574a-83de-4b71-bc06-ada42b052edc,99039432,9903.94.32,general,value * 0.1,mismatch,201,,0,10,10,10,,,,10%,2025-06-29,2050-12-30
5c8a8fbf-e8fc-4568-beef-bd4c11f1ef8c,99039433,9903.94.33,general,value * 0.1,mismatch,201,,0,10,10,10,,,,10%,2025-10-31,2050-12-30
de55a0d6-fa7e-4c91-a015-be6bc07f9fd2,99039441,9903.94.41,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-09-15,2050-12-30
4b7d5ff3-caf3-43d1-98ef-2347dc6a414f,99039443,9903.94.43,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-09-15,2050-12-30
f0fcbaac-a49a-4e0e-9e9b-e9a6a25a8fd8,99039445,9903.94.45,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-10-31,2050-12-30
8c960a02-74ef-414a-8026-a2e0fe94d136,99039451,9903.94.51,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-07-31,2050-12-30
7f30c740-fb16-4925-b675-a2a4b4856241,99039453,9903.94.53,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-07-31,2050-12-30
67669dd8-0921-48e2-8a29-0aada8c71f43,99039455,9903.94.55,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-10-31,2050-12-30
2c9a3ecb-da06-40e5-90d5-8ff23891fe8e,99039461,9903.94.61,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-10-31,2050-12-30
9f68497e-7f16-48ae-99af-c622d4912227,99039463,9903.94.63,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-10-31,2050-12-30
83ef3d92-3cbe-4005-aa58-41b271c8920b,99039465,9903.94.65,general,value * 0.15,mismatch,201,,0,15,15,15,,,,15%,2025-10-31,2050-12-30
