row_id,hts8,mapped_2026_hts_number,mapped_2026_source_version,mfn_text_rate,begin_effect_date,end_effective_date,brief_description
feed4fe4-af4f-477d-963f-bc677a5bc303,96200015,9620.00.15.00,2026_revision_3,The rate applicable to the article of which it is an accessory,2020-06-30,2050-12-30,"Monopods, bipods, tripods and similar articles, accessories of heading 9005"
7c0dbb77-dc09-400c-8b1a-b7d6c230064c,96200030,9620.00.30,2026_revision_3,The rate applicable to the article of which it is an accessory,2020-06-30,2050-12-30,"Monopods, bipods, tripods and similar articles, accessories of heading 9015, including rangefinders"
23258432-b7de-4be6-ab0c-560c8d4d7b5a,98010070,9801.00.70.00,2026_revision_3,"A duty equal to the duty upon the importation of like articles not previously exported, but in no case in excess of the sum of (a) any customs drawback proved to have been allowed upon such exportation, and (b) the duty which would have been payable on an",2012-10-30,2050-12-30,"Previously exported aircraft with benefit of drawback, dutiable upon return"
8e9624e8-2116-41cb-bcd5-fab73ebf6b23,98010080,9801.00.80,2026_revision_3,"A duty (in lieu of any other duty or tax) equal to the sum of any duty and internal- revenue tax imposed upon the importation of like articles not previously exported, but in no case in excess of the sum of (a) any customs drawback proved to have been all",2012-10-30,2050-12-30,"Previously exported articles except aircraft, dutiable upon return"
6399607b-8850-4bff-b8ce-90ad2165a9da,98020040,9802.00.40,2026_revision_3,A duty upon the value of the repairs or alterations (see U.S. note 3 of this subchapter),2012-10-30,2050-12-30,"Articles returned to the U.S. after having been exported for repairs or alterations, made pursuant to a warranty"
74d0dcb4-538d-4271-b4b4-4135f81cc8c8,98020050,9802.00.50,2026_revision_3,A duty upon the value of the repairs or alterations (see U.S. note 3 of this subchapter),2012-10-30,2050-12-30,"Articles returned to the U.S. after having been exported for repairs or alterations, nesoi"
5ebfab39-d406-40c3-9c9a-a1958b1df3d8,98020060,9802.00.60.00,2026_revision_3,A duty upon the value of such processing outside the United States (see U.S. note 3 of this subchapter),2021-12-31,2050-12-30,U.S. articles of specific metals exported for further processing and returned for further processing
662b787d-7a45-4d86-8030-d9cce70ef140,98020080,9802.00.80,2026_revision_3,"A duty upon the full value of the imported article, less the cost or value of such products of the United States (see U.S. note 4 of this subchapter)",2021-12-31,2050-12-30,"U.S. articles assembled abroad, which have not lost their physical identity or have not advanced in value or improved in condition abroad"
bc886ec8-9750-402e-8e6c-8fa6270c5fac,98180005,9818.00.05.00,2026_revision_3,The rate applicable in the absence of this subheading on the cost of such parts,2021-12-31,2050-12-30,"Spare parts necessarily installed before first entry into the U.S., upon first entry into the U.S. of each such spare part, etc."
9908406b-e08a-455b-a990-0e9f096a1099,98220510,9822.05.10,2026_revision_3,"A duty upon the full value of the imported article less the value of fabrics, components or materials of the United States (see U.S. note 22 of this subchapter)",2006-06-30,2050-12-30,DR-CAFTA member textile and apparel goods of chapters 61 through 63 described in U.S. note 22 to this subchapter
36e4f14b-b35b-491d-957c-4dba99e84ead,98220530,9822.05.30,2026_revision_3,The duty rate provided in such subheading minus 0.5%,2008-08-14,2050-12-30,Goods of subheading 6202.11.00 under the terms of chapter rules for Chapter 62 in General Note 29(n)
f41ea3f0-5d2f-4365-8493-31d45b280923,98220535,9822.05.35,2026_revision_3,The duty rate provided in such subheading minus 0.5%,2008-08-14,2050-12-30,Goods of subheading 6203.31.90 under the terms of chapter rules for Chapter 62 in General Note 29(n)
48745ebc-b35a-46b7-81c6-81d43b2378f3,98220540,9822.05.40,2026_revision_3,The duty rate provided in such subheading minus 0.5%,2008-08-14,2050-12-30,Goods of subheading 6203.33.10 under the terms of chapter rules for Chapter 62 in General Note 29(n)
ccfddf3c-12c9-4575-9ccd-25e69556229e,98220545,9822.05.45,2026_revision_3,The duty rate provided in such subheading minus 0.5%,2008-08-14,2050-12-30,Goods of subheading 6203.41.18 under the terms of chapter rules for Chapter 62 in General Note 29(n)
eb96387c-91f7-49c5-945d-abb59d16bc44,98220550,9822.05.50,2026_revision_3,The duty rate provided in such subheading minus 0.5%,2008-08-14,2050-12-30,Goods of subheading 6203.42.40 or 6204.62.40 under the terms of chapter rules for Chapter 62 in General Note 29(n)
997c7bfc-f69a-4ec8-b000-655ed3633558,98220555,9822.05.55,2026_revision_3,The duty rate provided in such subheading minus 0.5%,2008-08-14,2050-12-30,Goods of subheading 6203.43.30 under the terms of chapter rules for Chapter 62 in General Note 29(n)
cd2c1a9a-67ed-4ef9-8703-e51701bbac19,98220560,9822.05.60,2026_revision_3,The duty rate provided in such subheading minus 2.0%,2008-08-14,2050-12-30,Goods of subheading 6203.12.20 (except goods for boys) under the terms of chapter rules for Chapter 62 in General Note 29(n)
6fcd3bc2-f4f2-442f-90a8-da6555280551,98220565,9822.05.65,2026_revision_3,The duty rate provided in such subheading minus 2.0%,2008-08-14,2050-12-30,Goods of subheading 6203.43.40 under the terms of chapter rules for Chapter 62 in General Note 29(n)
1424f801-7b48-4254-81ec-687914456317,98220570,9822.05.70,2026_revision_3,The duty rate provided in such subheading minus 2.0%,2008-08-14,2050-12-30,Goods of subheading 6204.63.35 under the terms of chapter rules for Chapter 62 in General Note 29(n)
